County/Sub County,Total,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages
MUMONI,6496,5646,5185,4876,12,27,126,3538,4499,,1549,630,154,,4536,110,19,113,68,,4403,620,345,38,146,,91,144,2513,1132,4472,1,3345,3,4107,74,100,1184,7,12,0
MUTITU,11521,9766,8461,8551,39,44,348,7928,5245,,482,856,438,,6909,403,72,439,338,,4657,1193,911,146,51,,138,103,4160,991,7372,74,5873,8,6835,116,37,1954,8,34,5
MUTITU NORTH,4929,4303,3966,3668,12,12,92,3889,2244,,846,323,108,,3265,163,23,149,114,,1648,475,469,42,21,,99,65,1892,149,3181,4,2158,5,2776,90,48,1075,5,5,0
MUTOMO,23044,19832,18506,16780,54,60,652,18067,11975,,3898,2664,1192,,15363,581,99,627,482,,7983,1967,1618,186,103,,193,110,9601,1717,14496,258,10818,19,14157,166,62,3774,15,34,5
MWINGI CENTRAL,26753,19371,17344,16408,60,61,793,16328,10483,,10494,2220,839,,12640,812,114,918,423,,6105,1339,1872,324,86,,307,301,7504,1526,14598,7,10481,17,13058,287,189,3494,37,51,9
MWINGI EAST,18730,15945,14231,13810,27,55,350,10679,10592,,1984,606,116,,11385,180,45,257,151,,9718,2389,1023,84,74,,115,168,6853,824,12054,18,9688,10,11077,153,79,3736,10,24,3
NZAMBANI,11276,9189,8728,6611,13,42,394,8618,3224,,6075,2743,1113,,3606,1308,102,738,465,,756,434,1397,226,161,,217,91,3034,290,5131,0,2065,9,5649,158,147,787,50,13,1
THAGICU,3289,2968,2620,2723,4,30,51,311,2127,,43,21,7,,2394,62,16,38,13,,2364,219,48,29,175,,41,126,1350,1547,2464,1,1697,5,2152,94,100,405,3,2,2
TSEIKURU,8579,7353,6949,6296,51,42,214,1543,6231,,143,452,45,,6289,93,40,198,107,,6232,2299,462,89,721,,87,89,3281,3428,5658,8,5062,6,4992,94,54,1593,5,48,8
MACHAKOS,402466,231341,217073,176746,564,1834,16642,211089,22077,12704,194467,60602,37625,,55800,60821,5394,16758,9110,,4514,4679,40521,9053,,,12759,4057,103561,34152,113642,96,19679,427,143193,5072,2606,6284,7966,500,68
ATHI RIVER,109735,13071,9680,9681,63,131,1751,8395,628,801,7655,1607,1622,,1175,1964,741,1747,1466,,274,509,3530,755,,,908,384,4053,2442,4720,10,840,103,7566,706,395,170,350,57,5
KALAMA,14182,11334,10682,8859,33,93,422,10522,764,457,9915,3801,1891,,1015,2476,146,501,387,,293,235,1188,213,,,534,267,5531,945,6429,7,497,6,7298,237,149,207,266,28,3
KANGUNDO,26142,23045,22600,16919,33,103,1196,22225,841,680,21492,12572,7126,,1198,12735,400,2108,1225,,204,307,5628,1212,,,2134,311,8921,2432,8352,8,835,48,13606,533,223,299,1541,33,2
KATHIANI,28730,24578,23760,17370,29,119,2968,22949,587,4271,21996,8863,4515,,1385,11005,1432,2360,580,,168,196,6408,2216,,,1643,396,8796,2938,8195,5,547,18,13818,442,190,177,1102,27,2
MACHAKOS,50979,26753,25084,18067,41,142,1693,24221,654,4625,23140,8216,4745,,1663,8841,1002,2399,1467,,207,387,6237,1466,,,1783,398,8026,2383,9831,9,541,35,14011,644,299,216,959,40,0
MASINGA,36251,30328,28120,25112,126,375,1314,27568,6838,516,22682,4641,3705,,15211,3725,249,1289,517,,1295,900,3138,593,,,673,448,16828,5885,20093,20,3189,42,21012,521,264,1857,630,106,22
